adult,name,poster_path,backdrop_path,budget,genre1,genre2,genre3,genre4,homepage,original_title,overview,popularity,prod_co1,prod_co2,prod_co3,prod_co4,prod_co5,prod_co6,prod_co7,prod_country1,prod_country2,release_date,revenue,runtime,spoken_lang1,spoken_lang2,spoken_lang3,status,tagline,title,original_language
FALSE,Toy Story Collection,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,/9FBwqcd9IRruEDUrTdcaafOMKUq.jpg,30000000,Animation,Comedy,Family,,http://toystory.disney.com/toy-story,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",21.946943,Pixar Animation Studios,,,,,,,United States of America,,10/30/1995,373554033,81,English,,,Released,,Toy Story,en
FALSE,,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,,65000000,Adventure,Fantasy,Family,,,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",17.015539,TriStar Pictures,Teitler Film,Interscope Communications,,,,,United States of America,,12/15/1995,262797249,104,English,French,,Released,Roll the dice and unleash the excitement!,Jumanji,en
FALSE,Grumpy Old Men Collection,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,/hypTnLot2z8wpFS7qwsQHW1uV8u.jpg,0,Romance,Comedy,,,,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",11.7129,Warner Bros.,Lancaster Gate,,,,,,United States of America,,12/22/1995,0,101,English,,,Released,Still Yelling. Still Fighting. Still Ready for Love.,Grumpier Old Men,en
FALSE,,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,,16000000,Comedy,Drama,Romance,,,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",3.859495,Twentieth Century Fox Film Corporation,,,,,,,United States of America,,12/22/1995,81452156,127,English,,,Released,Friends are the people who let you be yourself... and never let you forget it.,Waiting to Exhale,en
FALSE,Father of the Bride Collection,/e64sOI48hQXyru7naBFyssKFxVd.jpg,/7qwE57OVZmMJChBpLEbJEmzUydk.jpg,0,Comedy,,,,,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",8.387519,Sandollar Productions,Touchstone Pictures,,,,,,United States of America,,2/10/1995,76578911,106,English,,,Released,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,Father of the Bride Part II,en
FALSE,,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,,60000000,Action,Crime,Drama,Thriller,,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",17.924927,Regency Enterprises,Forward Pass,Warner Bros.,,,,,United States of America,,12/15/1995,187436818,170,English,Spanish,,Released,A Los Angeles Crime Saga,Heat,en
FALSE,,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,,58000000,Comedy,Romance,,,,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",6.677277,Paramount Pictures,Scott Rudin Productions,Mirage Enterprises,Sandollar Productions,Constellation Entertainment,Worldwide,Mont Blanc Entertainment GmbH,Germany,United States of America,12/15/1995,0,127,French,English,,Released,You are cordially invited to the most surprising merger of the year.,Sabrina,en
FALSE,,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,,0,Action,Adventure,Drama,Family,,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",2.561161,Walt Disney Pictures,,,,,,,United States of America,,12/22/1995,0,97,English,German,,Released,The Original Bad Boys.,Tom and Huck,en
FALSE,,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,,35000000,Action,Adventure,Thriller,,,Sudden Death,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...",5.23158,Universal Pictures,Imperial Entertainment,Signature Entertainment,,,,,United States of America,,12/22/1995,64350171,106,English,,,Released,Terror goes into overtime.,Sudden Death,en
FALSE,James Bond Collection,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,/6VcVl48kNKvdXOZfJPdarlUGOsk.jpg,58000000,Adventure,Action,Thriller,,http://www.mgm.com/view/movie/757/Goldeneye/,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,14.686036,United Artists,Eon Productions,,,,,,United Kingdom,United States of America,11/16/1995,352194034,130,English,Russian,Spanish,Released,No limits. No fears. No substitutes.,GoldenEye,en
